,id,Price,Zip,Type,Subtype,Locality,Surroundings type,Living area,Number of rooms,Bathrooms,Construction year,Number of facades,Swimming pool,Furnished,Open fire,Terrace,Terrace surface,Garden,Garden surface,Primary energy consumption,Energy class,Heating type,Kitchen values,Building Cond. values,Parking,Province,Urban_value,Normal_apt,Big_apt
9988,10550578.0,180000.0,1040.0,apartment,apartment,etterbeek,Urban,41.0,1.0,1.0,1967.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308.0,F,Gas,1.0,3.0,0.0,1,1.0,1,0
9989,10615818.0,395000.0,9800.0,apartment,apartment,deinze,Urban,99.0,2.0,1.0,2023.0,4.0,0.0,0.0,0.0,1.0,12.0,1.0,25.0,1.0,A,Gas,1.0,4.0,111.0,11,0.0,1,0
9990,10619226.0,420000.0,1000.0,apartment,apartment,bruxelles,Urban,69.0,1.0,1.0,2025.0,2.4,0.0,0.0,0.0,1.0,24.0,0.0,0.0,46.0,B,Gas,1.0,4.0,1.0,1,1.0,1,0
9991,10616443.0,1750000.0,1050.0,apartment,penthouse,ixelles,Isolated,228.0,3.0,2.0,2024.0,4.0,0.0,0.0,0.0,1.0,67.0,0.0,0.0,95.0,B,Gas,1.0,4.0,1.0,1,1.0,0,1
9998,10620194.0,280000.0,1080.0,apartment,duplex,molenbeek-saint-jean,"Living area (residential, urban or rural)",165.0,3.0,1.0,1935.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.0,E,Gas,1.0,3.0,0.0,1,1.0,0,1
9999,10389696.0,289000.0,8370.0,apartment,apartment,blankenberge,Landscape,68.0,2.0,1.0,1963.0,2.0,0.0,1.0,0.0,1.0,7.6,0.0,0.0,116.0,B,Gas,1.0,3.0,0.0,10,0.0,1,0
10005,10619289.0,325000.0,9051.0,apartment,apartment,gent sint-denijs-westrem,Urban,91.0,2.0,1.0,1991.0,2.0,0.0,0.0,0.0,1.0,20.0,0.0,0.0,178.0,B,Electric,1.0,2.0,2.0,11,0.0,1,0
10011,10619274.0,529000.0,9000.0,apartment,apartment,gent,Urban,182.0,4.0,1.0,1963.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,B,Gas,1.0,3.0,2.0,11,1.0,1,0
10012,10615817.0,250000.0,9800.0,apartment,apartment,deinze,Urban,63.0,1.0,1.0,2023.0,4.0,0.0,0.0,0.0,1.0,10.0,1.0,25.0,1.0,A,Gas,1.0,4.0,111.0,11,0.0,1,0
10013,10613255.0,369000.0,1420.0,apartment,apartment,braine-l'alleud,Isolated,92.0,2.0,1.0,2023.0,4.0,0.0,0.0,0.0,1.0,16.0,0.0,0.0,47.0,A,Gas,1.0,4.0,0.0,2,1.0,1,0
10014,10615816.0,375000.0,9800.0,apartment,apartment,deinze,Urban,85.0,2.0,1.0,2023.0,4.0,0.0,0.0,0.0,1.0,28.0,1.0,25.0,1.0,A,Gas,1.0,4.0,111.0,11,0.0,1,0
